,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,engine-size-cc,power-2-weight-ratio
0,2,164.0,audi,gas,std,4,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,3.19,3.40,10.0,102,5500,24,30,13950.0,1786,0.043645699614890884
1,2,164.0,audi,gas,std,4,sedan,4 Wheel Drive,front,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.40,8.0,115,5500,18,22,17450.0,2228,0.04072237960339943
2,2,161.0,audi,gas,std,2,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,15250.0,2228,0.043877143996808934
3,1,158.0,audi,gas,std,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,17710.0,2228,0.03867791842475387
4,1,161.0,audi,gas,std,4,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,25,18920.0,2228,0.037237643872714964
5,1,158.0,audi,gas,turbo,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.40,8.3,140,5500,17,20,23875.0,2146,0.04536616979909268
6,0,161.0,audi,gas,turbo,2,hatchback,4 Wheel Drive,front,99.5,178.2,67.9,52.0,3053,ohc,5,131,mpfi,3.13,3.40,7.0,160,5500,16,22,17859.166666666668,2146,0.05240746806419915
7,2,192.0,bmw,gas,std,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16430.0,1769,0.042171189979123176
8,0,192.0,bmw,gas,std,4,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925.0,1769,0.042171189979123176
9,0,188.0,bmw,gas,std,2,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,2687,0.044649446494464944
10,0,188.0,bmw,gas,std,4,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,2687,0.04376130198915009
11,2,121.0,chevrolet,gas,std,2,hatchback,Front Wheel Drive,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,999,0.03225806451612903
12,1,98.0,chevrolet,gas,std,2,hatchback,Front Wheel Drive,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,1474,0.03735325506937033
13,0,81.0,chevrolet,gas,std,4,sedan,Front Wheel Drive,front,94.5,158.8,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,1474,0.03666841278156103
14,1,118.0,dodge,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,1474,0.03624733475479744
15,1,118.0,dodge,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,1474,0.03624733475479744
16,1,118.0,dodge,gas,turbo,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,1605,0.047932330827067667
17,1,148.0,dodge,gas,std,4,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,1474,0.03457041179461108
18,1,148.0,dodge,gas,std,4,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,1474,0.03418803418803419
19,1,148.0,dodge,gas,std,4,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,1474,0.03418803418803419
21,-1,110.0,dodge,gas,std,4,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,1999,0.03471400394477318
22,3,145.0,dodge,gas,turbo,2,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,3.60,3.90,7.0,145,5000,19,24,12964.0,2556,0.05158306652436855
23,2,137.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,1507,0.033858727378867484
24,2,137.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,1507,0.04178119846069269
25,1,101.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,1294,0.0326619488296135
26,1,101.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,1507,0.03917525773195876
27,1,101.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,1507,0.03885480572597137
28,0,110.0,honda,gas,std,4,sedan,Front Wheel Drive,front,96.5,163.4,64.0,54.5,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,1507,0.03781094527363184
29,0,78.0,honda,gas,std,4,wagon,Front Wheel Drive,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,1507,0.037549407114624504
30,0,106.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,1802,0.038461538461538464
31,0,106.0,honda,gas,std,2,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,1802,0.037570991699432066
32,0,85.0,honda,gas,std,4,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,1802,0.03732638888888889
33,0,85.0,honda,gas,std,4,sedan,Front Wheel Drive,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,1802,0.03625632377740304
34,0,85.0,honda,gas,std,4,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,1802,0.040973630831643
35,1,107.0,honda,gas,std,2,sedan,Front Wheel Drive,front,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,1802,0.043610989969472304
36,0,145.0,jaguar,gas,std,4,sedan,Rear Wheel Drive,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,4227,0.04328578455484506
37,1,104.0,mazda,gas,std,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,1491,0.03597883597883598
38,1,104.0,mazda,gas,std,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,1491,0.035789473684210524
39,1,104.0,mazda,gas,std,2,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,1491,0.03569553805774278
40,1,113.0,mazda,gas,std,4,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,1491,0.03496143958868895
41,1,113.0,mazda,gas,std,4,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,1491,0.03487179487179487
46,1,129.0,mazda,gas,std,2,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,1999,0.03522012578616352
47,0,115.0,mazda,gas,std,4,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,1999,0.034854771784232366
48,1,129.0,mazda,gas,std,2,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,1999,0.03522012578616352
49,0,115.0,mazda,gas,std,4,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,1999,0.034854771784232366
51,0,115.0,mazda,gas,std,4,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,1999,0.03463917525773196
52,0,118.0,mazda,gas,std,4,sedan,Rear Wheel Drive,front,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,2294,0.0449438202247191
53,0,123.93333333333334,mazda,diesel,std,4,sedan,Rear Wheel Drive,front,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,2195,0.02666666666666667
54,-1,93.0,mercedes-benz,diesel,turbo,4,sedan,Rear Wheel Drive,front,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,2998,0.03499288762446657
55,-1,93.0,mercedes-benz,diesel,turbo,4,wagon,Rear Wheel Drive,front,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,2998,0.0328
56,0,93.0,mercedes-benz,diesel,turbo,2,hardtop,Rear Wheel Drive,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,2998,0.0351931330472103
57,-1,93.0,mercedes-benz,diesel,turbo,4,sedan,Rear Wheel Drive,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,2998,0.03262599469496021
58,-1,102.8,mercedes-benz,gas,std,4,sedan,Rear Wheel Drive,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.10,8.3,155,4750,16,18,34184.0,3834,0.04144385026737968
59,3,142.0,mercedes-benz,gas,std,2,convertible,Rear Wheel Drive,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.10,8.3,155,4750,16,18,35056.0,3834,0.04206241519674356
60,0,102.8,mercedes-benz,gas,std,4,sedan,Rear Wheel Drive,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.80,3.35,8.0,184,4500,14,16,40960.0,5047,0.04717948717948718
61,1,102.8,mercedes-benz,gas,std,2,hardtop,Rear Wheel Drive,front,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,3.80,3.35,8.0,184,4500,14,16,45400.0,4981,0.04952893674293405
62,2,161.0,mitsubishi,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,1507,0.035453597497393116
63,2,161.0,mitsubishi,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,1507,0.03497942386831276
64,2,161.0,mitsubishi,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,1507,0.033932135728542916
65,1,161.0,mitsubishi,gas,turbo,2,hatchback,Front Wheel Drive,front,93.0,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,1605,0.04755244755244755
66,3,153.0,mitsubishi,gas,turbo,2,hatchback,Front Wheel Drive,front,96.3,173.0,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,1802,0.048945147679324896
67,3,153.0,mitsubishi,gas,std,2,hatchback,Front Wheel Drive,front,96.3,173.0,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,1999,0.037800687285223365
68,3,146.2,mitsubishi,gas,turbo,2,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,2556,0.05118249205788916
69,3,146.2,mitsubishi,gas,turbo,2,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,2556,0.04964053406367682
70,3,146.2,mitsubishi,gas,turbo,2,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,2556,0.04955570745044429
71,1,125.0,mitsubishi,gas,std,4,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,1999,0.037209302325581395
72,1,125.0,mitsubishi,gas,std,4,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,1999,0.03659043659043659
73,1,125.0,mitsubishi,gas,turbo,4,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,1802,0.04827299209321681
74,-1,137.0,mitsubishi,gas,std,4,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,1802,0.04827299209321681
75,1,128.0,nissan,gas,std,2,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,1589,0.036527263102170464
76,1,128.0,nissan,diesel,std,2,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,1687,0.027268220128904314
77,1,128.0,nissan,gas,std,2,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,1589,0.03597497393117831
78,1,122.0,nissan,gas,std,4,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,1589,0.03560371517027864
79,1,103.0,nissan,gas,std,4,wagon,Front Wheel Drive,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,1589,0.03409090909090909
80,1,128.0,nissan,gas,std,2,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,1589,0.035366478728856995
81,1,128.0,nissan,gas,std,2,hatchback,Front Wheel Drive,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,1589,0.034023668639053255
82,1,122.0,nissan,gas,std,4,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,1589,0.0350076103500761
83,1,103.0,nissan,gas,std,4,wagon,Front Wheel Drive,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,1589,0.033873343151693665
84,2,168.0,nissan,gas,std,2,hardtop,Front Wheel Drive,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,1589,0.03436254980079681
85,0,106.0,nissan,gas,std,4,hatchback,Front Wheel Drive,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,1966,0.04173838209982788
86,0,106.0,nissan,gas,std,4,sedan,Front Wheel Drive,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,1966,0.0421372719374457
87,0,128.0,nissan,gas,std,4,sedan,Front Wheel Drive,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,2966,0.04911147011308562
88,0,108.0,nissan,gas,std,4,wagon,Front Wheel Drive,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,2966,0.04611650485436893
89,0,108.0,nissan,gas,std,4,sedan,Front Wheel Drive,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,2966,0.04967320261437908
90,3,194.0,nissan,gas,std,2,hatchback,Rear Wheel Drive,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,2966,0.052100293064148484
91,3,194.0,nissan,gas,turbo,2,hatchback,Rear Wheel Drive,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,2966,0.06371455877668047
92,1,231.0,nissan,gas,std,2,hatchback,Rear Wheel Drive,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,2966,0.05097164702134438
93,0,161.0,peugot,gas,std,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,1966,0.032119205298013244
