,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,engine-size-cc,power-2-weight-ratio
94,0,161.0,peugot,diesel,turbo,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.70,3.52,21.0,95,4150,28,33,13200.0,2490,0.029715358148264
95,0,161.0,peugot,gas,std,4,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,1966,0.030030959752321982
96,0,161.0,peugot,diesel,turbo,4,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.70,3.52,21.0,95,4150,25,25,13860.0,2490,0.027696793002915453
97,0,161.0,peugot,gas,std,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,1966,0.030894308943089432
98,0,161.0,peugot,diesel,turbo,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.70,3.52,21.0,95,4150,28,33,16900.0,2490,0.02921279212792128
99,0,161.0,peugot,gas,std,4,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,1966,0.0289193302891933
100,0,161.0,peugot,diesel,turbo,4,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.70,3.52,21.0,95,4150,25,25,17075.0,2490,0.027259684361549498
101,0,161.0,peugot,gas,std,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,1966,0.031544715447154474
102,0,161.0,peugot,diesel,turbo,4,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.70,3.52,21.0,95,4150,28,33,17950.0,2490,0.02921279212792128
103,0,161.0,peugot,gas,turbo,4,sedan,Rear Wheel Drive,front,108.0,186.7,68.3,56.0,3130,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,2195,0.04536741214057508
104,1,119.0,plymouth,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,1474,0.035453597497393116
105,1,119.0,plymouth,gas,turbo,2,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,1605,0.047932330827067667
106,1,154.0,plymouth,gas,std,4,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,1474,0.03457041179461108
107,1,154.0,plymouth,gas,std,4,sedan,Front Wheel Drive,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,1474,0.03418803418803419
108,1,154.0,plymouth,gas,std,4,sedan,Front Wheel Drive,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,1605,0.031036056595162027
109,-1,74.0,plymouth,gas,std,4,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,1999,0.03471400394477318
110,3,129.0,plymouth,gas,turbo,2,hatchback,Rear Wheel Drive,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,2556,0.05145493257629524
111,3,186.0,porsche,gas,std,2,hatchback,Rear Wheel Drive,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,2474,0.05147588192944565
112,3,150.0,saab,gas,std,2,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,1982,0.04138449962377728
113,2,104.0,saab,gas,std,4,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,1982,0.04081632653061224
114,3,150.0,saab,gas,std,2,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,1982,0.04063538973032878
115,2,104.0,saab,gas,std,4,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,1982,0.03988397389412618
116,3,150.0,saab,gas,turbo,2,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,1982,0.05698005698005698
117,2,104.0,saab,gas,turbo,4,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,1982,0.056199508254302775
118,2,83.0,subaru,gas,std,2,hatchback,Front Wheel Drive,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,1589,0.033658536585365856
119,2,83.0,subaru,gas,std,2,hatchback,Front Wheel Drive,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,1769,0.03443396226415094
120,2,83.0,subaru,gas,std,2,hatchback,4 Wheel Drive,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603.0,1769,0.032589285714285716
121,0,102.0,subaru,gas,std,4,sedan,Front Wheel Drive,front,97.2,172.0,65.4,52.5,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,1769,0.03822843822843823
122,0,102.0,subaru,gas,std,4,sedan,Front Wheel Drive,front,97.2,172.0,65.4,52.5,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0,1769,0.03744292237442922
123,0,102.0,subaru,gas,std,4,sedan,Front Wheel Drive,front,97.2,172.0,65.4,52.5,2340,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,1769,0.040170940170940174
124,0,102.0,subaru,gas,std,4,sedan,4 Wheel Drive,front,97.0,172.0,65.4,54.3,2385,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0,1769,0.034381551362683435
125,0,102.0,subaru,gas,turbo,4,sedan,4 Wheel Drive,front,97.0,172.0,65.4,54.3,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,1769,0.044223107569721115
126,0,89.0,subaru,gas,std,4,wagon,Front Wheel Drive,front,97.0,173.5,65.4,53.0,2290,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0,1769,0.03580786026200873
127,0,89.0,subaru,gas,std,4,wagon,Front Wheel Drive,front,97.0,173.5,65.4,53.0,2455,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,1769,0.038289205702647655
128,0,85.0,subaru,gas,std,4,wagon,4 Wheel Drive,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,1769,0.033884297520661154
129,0,85.0,subaru,gas,turbo,4,wagon,4 Wheel Drive,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,1769,0.04188679245283019
130,1,87.0,toyota,gas,std,2,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,1507,0.031234256926952142
131,1,87.0,toyota,gas,std,2,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,1507,0.030392156862745098
132,1,74.0,toyota,gas,std,4,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,1507,0.03076923076923077
133,0,77.0,toyota,gas,std,4,wagon,Front Wheel Drive,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,1507,0.027192982456140352
134,0,81.0,toyota,gas,std,4,wagon,4 Wheel Drive,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,1507,0.027074235807860263
135,0,91.0,toyota,gas,std,4,wagon,4 Wheel Drive,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0,1507,0.019935691318327974
136,0,91.0,toyota,gas,std,4,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53.0,2081,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0,1605,0.03363767419509851
137,0,91.0,toyota,gas,std,4,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,1605,0.03319108582266477
138,0,91.0,toyota,diesel,std,4,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53.0,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,34,36,7898.0,1802,0.024615384615384615
139,0,91.0,toyota,diesel,std,4,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,38,47,7788.0,1802,0.024615384615384615
140,0,91.0,toyota,gas,std,4,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53.0,2094,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0,1605,0.033428844317096466
141,0,91.0,toyota,gas,std,4,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0,1605,0.03298774740810556
142,0,91.0,toyota,gas,std,4,sedan,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0,1605,0.03271028037383177
143,1,168.0,toyota,gas,std,2,sedan,Rear Wheel Drive,front,94.5,168.7,64.0,52.6,2169,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0,1605,0.03227293683725219
144,1,168.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,94.5,168.7,64.0,52.6,2204,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0,1605,0.03176043557168784
145,1,168.0,toyota,gas,std,2,sedan,Rear Wheel Drive,front,94.5,168.7,64.0,52.6,2265,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0,1605,0.04944812362030905
146,1,168.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,94.5,168.7,64.0,52.6,2300,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0,1605,0.04869565217391304
147,2,134.0,toyota,gas,std,2,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52.0,2540,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,8449.0,2392,0.04566929133858268
148,2,134.0,toyota,gas,std,2,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52.0,2536,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,9639.0,2392,0.04574132492113565
149,2,134.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,98.4,176.2,65.6,52.0,2551,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,9989.0,2392,0.04547236377891023
150,2,134.0,toyota,gas,std,2,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52.0,2679,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,11199.0,2392,0.04329973870847331
151,2,134.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,98.4,176.2,65.6,52.0,2714,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,11549.0,2392,0.04274134119380987
152,2,134.0,toyota,gas,std,2,convertible,Rear Wheel Drive,front,98.4,176.2,65.6,53.0,2975,ohc,4,146,mpfi,3.62,3.50,9.3,116,4800,24,30,17669.0,2392,0.038991596638655465
153,-1,65.0,toyota,gas,std,4,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0,1999,0.03955288048151333
154,-1,65.0,toyota,diesel,turbo,4,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,1802,0.02943548387096774
155,-1,65.0,toyota,gas,std,4,hatchback,Front Wheel Drive,front,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0,1999,0.03811101905550953
156,-1,65.0,toyota,gas,std,4,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0,1999,0.03811101905550953
157,-1,65.0,toyota,gas,std,4,hatchback,Front Wheel Drive,front,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,1999,0.03742880390561432
158,3,197.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,102.9,183.5,67.7,52.0,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,2802,0.0540994623655914
159,3,197.0,toyota,gas,std,2,hatchback,Rear Wheel Drive,front,102.9,183.5,67.7,52.0,3016,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0,2802,0.05338196286472149
160,-1,90.0,toyota,gas,std,4,sedan,Rear Wheel Drive,front,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,2802,0.049824337272436924
161,-1,110.29032258064517,toyota,gas,std,4,wagon,Rear Wheel Drive,front,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,2638,0.04950809266899397
162,2,122.0,volkswagen,diesel,std,2,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,3.01,3.40,23.0,52,4800,37,46,7775.0,1589,0.022998673153471916
163,2,122.0,volkswagen,gas,std,2,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,3.19,3.40,9.0,85,5250,27,34,7975.0,1786,0.03847894975101856
164,2,94.0,volkswagen,diesel,std,4,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,3.01,3.40,23.0,52,4800,37,46,7995.0,1589,0.022968197879858657
165,2,94.0,volkswagen,gas,std,4,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8195.0,1786,0.03842676311030741
166,2,94.0,volkswagen,gas,std,4,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2275,ohc,4,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8495.0,1786,0.03736263736263736
167,2,94.0,volkswagen,diesel,turbo,4,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2319,ohc,4,97,idi,3.01,3.40,23.0,68,4500,37,42,9495.0,1589,0.029322984044846918
168,2,94.0,volkswagen,gas,std,4,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2300,ohc,4,109,mpfi,3.19,3.40,10.0,100,5500,26,32,9995.0,1786,0.043478260869565216
169,3,121.25,volkswagen,gas,std,2,convertible,Front Wheel Drive,front,94.5,159.3,64.2,55.6,2254,ohc,4,109,mpfi,3.19,3.40,8.5,90,5500,24,29,11595.0,1786,0.03992901508429459
170,3,256.0,volkswagen,gas,std,2,hatchback,Front Wheel Drive,front,94.5,165.7,64.0,51.4,2221,ohc,4,109,mpfi,3.19,3.40,8.5,90,5500,24,29,9980.0,1786,0.040522287257991896
171,0,121.25,volkswagen,gas,std,4,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2661,ohc,5,136,mpfi,3.19,3.40,8.5,110,5500,19,24,13295.0,2228,0.04133784291619692
172,0,121.25,volkswagen,diesel,turbo,4,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2579,ohc,4,97,idi,3.01,3.40,23.0,68,4500,33,38,13845.0,1589,0.026366808840635907
173,0,121.25,volkswagen,gas,std,4,wagon,Front Wheel Drive,front,100.4,183.1,66.9,55.1,2563,ohc,4,109,mpfi,3.19,3.40,9.0,88,5500,25,31,12290.0,1786,0.034334763948497854
174,-2,103.0,volvo,gas,std,4,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2912,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,2310,0.03914835164835165
175,-1,74.0,volvo,gas,std,4,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3034,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0,2310,0.037574159525379035
176,-2,103.0,volvo,gas,std,4,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2935,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0,2310,0.03884156729131175
177,-1,74.0,volvo,gas,std,4,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3042,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,2310,0.03747534516765286
178,-2,103.0,volvo,gas,turbo,4,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,3045,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,2130,0.053201970443349754
179,-1,74.0,volvo,gas,turbo,4,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3157,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,2130,0.05131453911941717
180,-1,95.0,volvo,gas,std,4,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,2952,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,2310,0.03861788617886179
181,-1,95.0,volvo,gas,turbo,4,sedan,Rear Wheel Drive,front,109.1,188.8,68.8,55.5,3049,ohc,4,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,2310,0.05247622171203673
182,-1,95.0,volvo,gas,std,4,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3012,ohcv,6,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0,2834,0.04448871181938911
183,-1,95.0,volvo,diesel,turbo,4,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3217,ohc,6,145,idi,3.01,3.40,23.0,106,4800,26,27,22470.0,2376,0.032949953372707494
184,-1,95.0,volvo,gas,turbo,4,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3062,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0,2310,0.037230568256041804
